condition,metric,point_sd_pp,refit_percentile_midpoint_sd_pp,refit_basic_midpoint_sd_pp,refit_BCa_midpoint_sd_pp
H050_C,FSR,2.9303052500171898,2.0193078506560567,4.566392402310619,4.397978500884337
H050_C,recall,3.1599310623628676,2.1711382052698776,4.870324215807061,4.66507040977501
H050_Q125,FSR,2.936812427094093,1.9237419795724495,4.771069345736927,4.596011458463173
H050_Q125,recall,3.131881347176377,2.051739517090174,5.016303800333084,4.803238624266294
H050_Q500,FSR,3.5883482687596633,1.8371164556380677,6.570016911430633,5.982755899626087
H050_Q500,recall,3.7378953434071307,1.9381877811749924,6.726480834794401,6.1927204355323
H065_C,FSR,4.581455858192069,3.0063872975027874,7.102509068481817,6.34234251896255
H065_C,recall,3.1599310623628676,2.1711382052698776,4.870324215807061,4.66507040977501
H065_Q125,FSR,4.670536972143131,2.9070618686173537,7.507175106384513,6.728613839322184
H065_Q125,recall,3.173052514253348,2.0600040673438427,5.087130988831935,4.877638761473863
H065_Q500,FSR,6.877516634857332,2.9752905085063253,12.441098124873957,9.983136415449508
H065_Q500,recall,4.013912414591731,1.9406771508571081,7.19656563116606,6.477229298925087
S_N_C,FSR,3.0709254025236836,1.4098095871923615,5.920611729986234,6.620257142581551
S_N_C,recall,1.7162525577247592,0.8310631990510736,3.202383340453035,3.603177720306959
S_H_C,FSR,5.330241949126575,3.7977412604775016,8.490140443188428,8.221262927336701
S_H_C,recall,3.1599310623628676,2.1711382052698776,4.870324215807061,4.66507040977501
