Case / outcome,Point bias / SD (pp),Mean bootstrap bias (pp),Mean displacement d (pp),"Corr(T,d)",Percentile / basic center SD (pp),Shared width (pp),"Procedure-average coverage, percentile / basic (%)"
N01 / FSR,-0.107 / 4.737,+0.138,+0.085,-0.849,2.693 / 9.381,28.161,100.0 / 88.5
N01 / Recall,-0.024 / 2.916,+0.023,+0.034,-0.862,1.515 / 5.548,17.946,100.0 / 91.4
N02 / FSR,+0.113 / 3.082,-0.113,-0.114,-0.893,1.417 / 5.948,19.587,100.0 / 90.5
N02 / Recall,+0.030 / 1.757,-0.025,-0.016,-0.891,0.800 / 3.261,11.133,100.0 / 91.6
N03 / FSR,-0.004 / 1.671,+0.016,+0.028,-0.906,0.708 / 3.104,10.485,100.0 / 91.2
N03 / Recall,-0.011 / 0.935,+0.018,+0.021,-0.894,0.420 / 1.724,5.891,100.0 / 92.6
N04 / FSR,-0.062 / 3.513,+0.047,+0.039,-0.915,1.423 / 6.690,20.217,100.0 / 90.1
N04 / Recall,-0.045 / 2.445,+0.039,+0.055,-0.916,0.980 / 4.602,14.501,100.0 / 89.7
A01 / FSR,+0.031 / 5.487,+0.042,+0.321,-0.740,3.694 / 8.792,26.398,100.0 / 87.5
A01 / Recall,+0.033 / 3.015,-0.309,-0.593,-0.712,2.116 / 4.771,14.990,99.9 / 89.2
A02 / FSR,+0.007 / 5.265,+0.115,+0.433,-0.720,3.654 / 8.483,26.630,100.0 / 90.2
A02 / Recall,+0.027 / 4.232,-0.372,-0.741,-0.736,2.885 / 6.568,20.432,99.9 / 89.4
A03 / FSR,-0.020 / 5.542,-0.139,+0.178,-0.747,3.699 / 8.776,27.351,99.7 / 89.4
A03 / Recall,-0.042 / 4.041,-0.409,-0.723,-0.723,2.804 / 6.240,19.956,99.8 / 90.9
A04 / FSR,+0.040 / 3.397,-0.020,+0.122,-0.673,2.550 / 4.845,15.797,99.6 / 90.7
A04 / Recall,-0.033 / 1.849,-0.142,-0.275,-0.650,1.418 / 2.626,8.815,99.7 / 91.1
S02 / FSR,-0.473 / 11.150,+0.023,+0.220,-0.497,9.726 / 15.482,46.993,98.0 / 87.0
S02 / Recall,-0.278 / 6.231,+0.010,+0.014,-0.412,5.769 / 8.377,27.632,98.3 / 90.7
S20 / FSR,+0.806 / 11.391,+0.067,+0.066,-0.502,9.887 / 15.768,45.200,97.2 / 84.7
S20 / Recall,+0.207 / 5.655,+0.272,+1.403,-0.464,5.038 / 7.664,22.789,96.3 / 84.9
