Condition,Metric,C,R,B,S
N_C_EQ,FSR,94.9 / 48.0,99.9 / 100.0,99.6 / 92.6,95.0 / 48.9
N_C_EQ,Recall,92.8 / 71.8,100.0 / 100.0,99.1 / 92.0,94.4 / 73.6
N_C_UQ,FSR,94.0 / 50.7,100.0 / 100.0,99.3 / 90.3,94.5 / 51.0
N_C_UQ,Recall,93.2 / 69.7,100.0 / 100.0,98.7 / 91.2,94.1 / 70.4
N_Q_EQ,FSR,95.6 / 35.1,98.5 / 100.0,97.8 / 80.1,95.6 / 35.1
N_Q_EQ,Recall,95.1 / 38.9,99.0 / 100.0,98.4 / 81.8,94.8 / 39.5
N_Q_UQ,FSR,95.8 / 34.0,97.8 / 100.0,97.7 / 77.7,96.2 / 34.1
N_Q_UQ,Recall,94.1 / 37.8,98.6 / 100.0,98.2 / 80.8,94.0 / 38.6
A_C_EQ,FSR,94.3 / 51.9,100.0 / 100.0,100.0 / 91.1,95.0 / 52.5
A_C_EQ,Recall,93.2 / 66.7,100.0 / 100.0,99.3 / 90.4,94.4 / 69.2
A_C_UQ,FSR,94.0 / 46.0,100.0 / 100.0,99.9 / 87.2,94.3 / 46.8
A_C_UQ,Recall,93.1 / 65.3,100.0 / 100.0,99.0 / 88.6,94.0 / 66.7
A_Q_EQ,FSR,94.2 / 26.3,98.6 / 100.0,99.0 / 75.0,94.9 / 27.0
A_Q_EQ,Recall,93.9 / 48.4,99.0 / 100.0,98.9 / 80.7,94.4 / 50.4
A_Q_UQ,FSR,94.1 / 28.0,98.5 / 100.0,97.7 / 73.1,94.4 / 27.9
A_Q_UQ,Recall,93.6 / 45.1,98.7 / 100.0,98.3 / 78.6,94.3 / 47.7
