Condition,Metric,"Conditional, cross-target",Full refit
N_C_EQ,FSR,"51.1 [48.00, 54.19]","0.0 [0.00, 0.38]"
N_C_EQ,Recall,"26.5 [23.86, 29.32]","0.0 [0.00, 0.38]"
N_C_UQ,FSR,"48.9 [45.81, 52.00]","0.0 [0.00, 0.38]"
N_C_UQ,Recall,"28.8 [26.08, 31.68]","0.0 [0.00, 0.38]"
N_Q_EQ,FSR,"64.9 [61.89, 67.80]","0.0 [0.00, 0.38]"
N_Q_EQ,Recall,"59.9 [56.83, 62.89]","0.0 [0.00, 0.38]"
N_Q_UQ,FSR,"65.9 [62.91, 68.77]","0.0 [0.00, 0.38]"
N_Q_UQ,Recall,"60.5 [57.44, 63.48]","0.0 [0.00, 0.38]"
A_C_EQ,FSR,"96.2 [94.83, 97.22]","41.9 [38.88, 44.98]"
A_C_EQ,Recall,"29.9 [27.14, 32.81]","0.1 [0.02, 0.56]"
A_C_UQ,FSR,"94.6 [93.02, 95.84]","42.9 [39.87, 45.99]"
A_C_UQ,Recall,"32.4 [29.57, 35.36]","0.2 [0.05, 0.73]"
A_Q_EQ,FSR,"83.8 [81.39, 85.95]","4.1 [3.04, 5.51]"
A_Q_EQ,Recall,"50.4 [47.31, 53.49]","0.0 [0.00, 0.38]"
A_Q_UQ,FSR,"84.5 [82.13, 86.61]","4.0 [2.95, 5.40]"
A_Q_UQ,Recall,"52.7 [49.60, 55.78]","0.0 [0.00, 0.38]"
