Condition,Metric,Point SD,Percentile / basic midpoint SD,Correlation,Point bias,Mean bootstrap bias
N_C_EQ,FSR,3.014,1.418 / 5.756,-0.886,-0.103,0.067
N_C_EQ,Recall,1.718,0.805 / 3.223,-0.885,-0.028,0.025
N_C_UQ,FSR,3.103,1.481 / 6.081,-0.888,-0.060,0.070
N_C_UQ,Recall,1.824,0.841 / 3.472,-0.890,-0.020,0.038
N_Q_EQ,FSR,8.316,1.927 / 16.338,-0.973,-0.181,0.113
N_Q_EQ,Recall,3.092,0.865 / 6.069,-0.960,-0.093,0.065
N_Q_UQ,FSR,8.773,1.971 / 17.164,-0.974,-0.283,0.250
N_Q_UQ,Recall,3.297,0.961 / 6.495,-0.957,-0.015,0.030
A_C_EQ,FSR,4.938,3.742 / 7.807,-0.657,0.034,0.164
A_C_EQ,Recall,3.014,2.146 / 4.699,-0.703,-0.002,-0.254
A_C_UQ,FSR,5.580,3.842 / 8.990,-0.725,-0.020,0.230
A_C_UQ,Recall,3.154,2.238 / 4.995,-0.705,-0.010,-0.304
A_Q_EQ,FSR,9.731,4.212 / 17.618,-0.903,-0.454,-0.270
A_Q_EQ,Recall,3.721,1.956 / 6.577,-0.851,-0.133,-0.286
A_Q_UQ,FSR,10.358,4.451 / 18.858,-0.904,-0.111,-0.259
A_Q_UQ,Recall,4.030,1.990 / 7.392,-0.870,-0.031,-0.304
