Cohort,Method / scorer,Pair AUROC,Pooled AUROC,Unavailable sample-pairs across seeds
RLBenchFail development,joint / bare,0.5100,0.5195,0
RLBenchFail development,joint / space,0.5427,0.5462,0
RLBenchFail development,late / bare,0.5481,0.5539,0
RLBenchFail development,late / space,0.5897,0.5940,0
RLBenchFail evaluation,joint / bare,0.4915,0.4938,0
RLBenchFail evaluation,joint / space,0.5099,0.5139,0
RLBenchFail evaluation,late / bare,0.4936,0.4961,0
RLBenchFail evaluation,late / space,0.5280,0.5294,0
UR5Fail transfer evaluation,joint / bare,0.3843,0.3898,0
UR5Fail transfer evaluation,joint / space,0.3859,0.3845,0
UR5Fail transfer evaluation,late / bare,0.3877,0.3877,0
UR5Fail transfer evaluation,late / space,0.4053,0.4063,0
REASSEMBLE development,joint / bare,0.6098,0.6066,0
REASSEMBLE development,joint / space,0.6253,0.6335,0
REASSEMBLE development,late / bare,0.5812,0.5802,2
REASSEMBLE development,late / space,0.6000,0.6014,2
REASSEMBLE evaluation,joint / bare,0.5566,0.5516,0
REASSEMBLE evaluation,joint / space,0.5643,0.5589,0
REASSEMBLE evaluation,late / bare,0.5644,0.5578,0
REASSEMBLE evaluation,late / space,0.5790,0.5741,0
