Condition / split,Method,Population pair AUROC,Sample pair AUROC,Duplicate excess (%),Pair ties (%)
H050_C / development,Joint,0.5000,0.5010,0.00,0.00
H050_C / development,Late,0.5000,0.4991,0.00,0.00
H050_C / evaluation,Joint,0.5000,0.5003,0.00,0.00
H050_C / evaluation,Late,0.5000,0.5002,0.00,0.00
H050_Q125 / development,Joint,0.5000,0.5010,58.75,4.05
H050_Q125 / development,Late,0.5000,0.4992,58.71,4.06
H050_Q125 / evaluation,Joint,0.5000,0.5002,81.40,4.06
H050_Q125 / evaluation,Late,0.5000,0.5002,81.42,4.07
H050_Q500 / development,Joint,0.5000,0.5011,85.25,16.05
H050_Q500 / development,Late,0.5000,0.4991,85.22,16.12
H050_Q500 / evaluation,Joint,0.5000,0.5004,94.21,16.06
H050_Q500 / evaluation,Late,0.5000,0.5002,94.21,16.08
H065_C / development,Joint,0.6500,0.6517,0.00,0.00
H065_C / development,Late,0.6500,0.6504,0.00,0.00
H065_C / evaluation,Joint,0.6500,0.6505,0.00,0.00
H065_C / evaluation,Late,0.6500,0.6504,0.00,0.00
H065_Q125 / development,Joint,0.6498,0.6515,58.73,4.06
H065_Q125 / development,Late,0.6498,0.6502,58.67,4.06
H065_Q125 / evaluation,Joint,0.6498,0.6503,81.40,4.06
H065_Q125 / evaluation,Late,0.6498,0.6501,81.43,4.07
H065_Q500 / development,Joint,0.6461,0.6478,85.24,16.03
H065_Q500 / development,Late,0.6461,0.6465,85.21,16.12
H065_Q500 / evaluation,Joint,0.6461,0.6467,94.21,16.06
H065_Q500 / evaluation,Late,0.6461,0.6465,94.22,16.08
S_N_C / development,Joint,0.8897,0.8914,0.00,0.00
S_N_C / development,Late,0.8897,0.8910,0.00,0.00
S_N_C / evaluation,Joint,0.8897,0.8904,0.00,0.00
S_N_C / evaluation,Late,0.8897,0.8903,0.00,0.00
S_H_C / development,Joint,0.8897,0.8914,0.00,0.00
S_H_C / development,Late,0.8897,0.8910,0.00,0.00
S_H_C / evaluation,Joint,0.8897,0.8904,0.00,0.00
S_H_C / evaluation,Late,0.8897,0.8903,0.00,0.00
