Condition,Metric,Target,Reference MCSE,Available reference draws
H050_C,FSR,-0.31664,0.01428,32768
H050_C,recall,-0.31664,0.01428,32768
H050_Q125,FSR,-0.11047,0.01433,32768
H050_Q125,recall,-0.11047,0.01433,32768
H050_Q500,FSR,+0.41519,0.01937,32768
H050_Q500,recall,+0.41519,0.01937,32768
H065_C,FSR,-3.18233,0.02373,32768
H065_C,recall,-0.31664,0.01428,32768
H065_Q125,FSR,-2.68014,0.02449,32768
H065_Q125,recall,-0.11514,0.01434,32768
H065_Q500,FSR,-1.07350,0.03548,32768
H065_Q500,recall,+0.46345,0.01954,32768
S_N_C,FSR,+0.00000,0.00000,0
S_N_C,recall,+0.00000,0.00000,0
S_H_C,FSR,-12.53510,0.02762,32768
S_H_C,recall,-0.31664,0.01428,32768
