Condition,Metric,Extreme-tail intervals,Mean acceleration,Min lower probability,Max upper probability
H050_C,FSR,299,+0.0066,2.07e-09,0.999999992
H050_C,recall,293,+0.0074,2.27e-08,0.999999999
H050_Q125,FSR,376,+0.0047,3.1e-08,1.000000000
H050_Q125,recall,356,+0.0045,1.03e-08,1.000000000
H050_Q500,FSR,531,+0.0086,9.75e-15,1.000000000
H050_Q500,recall,528,+0.0096,2.78e-13,1.000000000
H065_C,FSR,288,+0.0097,3.1e-08,0.999999962
H065_C,recall,293,+0.0074,2.27e-08,0.999999999
H065_Q125,FSR,352,+0.0058,5.51e-09,1.000000000
H065_Q125,recall,363,+0.0045,1.07e-08,1.000000000
H065_Q500,FSR,567,+0.0079,4.35e-13,1.000000000
H065_Q500,recall,540,+0.0071,7.31e-13,1.000000000
S_N_C,FSR,441,+0.0005,2.47e-15,0.999999999
S_N_C,recall,427,+0.0017,1.04e-09,0.999999997
S_H_C,FSR,320,+0.0057,1.46e-16,0.999999963
S_H_C,recall,293,+0.0074,2.27e-08,0.999999999
