Condition,Target,C,R,B,S,A
H050_C,fitted policy,"93.2 [91.5, 94.6]","99.9 [99.4, 100.0]","99.2 [98.4, 99.6]","94.2 [92.6, 95.5]","98.9 [98.0, 99.4]"
H050_C,procedure average,"63.0 [60.0, 65.9]","99.8 [99.3, 99.9]","87.8 [85.6, 89.7]","65.2 [62.2, 68.1]","88.0 [85.8, 89.9]"
H050_Q125,fitted policy,"93.1 [91.4, 94.5]","100.0 [99.6, 100.0]","98.5 [97.5, 99.1]","93.5 [91.8, 94.9]","98.5 [97.5, 99.1]"
H050_Q125,procedure average,"61.4 [58.3, 64.4]","100.0 [99.6, 100.0]","85.8 [83.5, 87.8]","63.5 [60.5, 66.4]","84.1 [81.7, 86.2]"
H050_Q500,fitted policy,"94.0 [92.4, 95.3]","99.2 [98.4, 99.6]","98.6 [97.7, 99.2]","94.1 [92.5, 95.4]","98.7 [97.8, 99.2]"
H050_Q500,procedure average,"46.1 [43.0, 49.2]","100.0 [99.6, 100.0]","78.8 [76.2, 81.2]","48.7 [45.6, 51.8]","77.3 [74.6, 79.8]"
H065_C,fitted policy,"93.2 [91.5, 94.6]","99.9 [99.4, 100.0]","99.2 [98.4, 99.6]","94.2 [92.6, 95.5]","98.9 [98.0, 99.4]"
H065_C,procedure average,"63.0 [60.0, 65.9]","99.8 [99.3, 99.9]","87.8 [85.6, 89.7]","65.2 [62.2, 68.1]","88.0 [85.8, 89.9]"
H065_Q125,fitted policy,"93.3 [91.6, 94.7]","99.9 [99.4, 100.0]","98.3 [97.3, 98.9]","94.0 [92.4, 95.3]","98.1 [97.1, 98.8]"
H065_Q125,procedure average,"61.6 [58.5, 64.6]","100.0 [99.6, 100.0]","86.2 [83.9, 88.2]","63.7 [60.7, 66.6]","85.5 [83.2, 87.5]"
H065_Q500,fitted policy,"94.5 [92.9, 95.8]","99.0 [98.2, 99.5]","97.6 [96.5, 98.4]","94.6 [93.0, 95.8]","98.1 [97.1, 98.8]"
H065_Q500,procedure average,"43.2 [40.2, 46.3]","100.0 [99.6, 100.0]","75.8 [73.0, 78.4]","45.5 [42.4, 48.6]","75.4 [72.6, 78.0]"
S_N_C,fitted policy,"92.4 [90.6, 93.9]","100.0 [99.6, 100.0]","99.2 [98.4, 99.6]","93.6 [91.9, 95.0]","98.8 [97.9, 99.3]"
S_N_C,procedure average,"70.7 [67.8, 73.4]","100.0 [99.6, 100.0]","92.2 [90.4, 93.7]","71.3 [68.4, 74.0]","89.0 [86.9, 90.8]"
S_H_C,fitted policy,"93.2 [91.5, 94.6]","99.9 [99.4, 100.0]","99.2 [98.4, 99.6]","94.2 [92.6, 95.5]","98.9 [98.0, 99.4]"
S_H_C,procedure average,"63.0 [60.0, 65.9]","99.8 [99.3, 99.9]","87.8 [85.6, 89.7]","65.2 [62.2, 68.1]","88.0 [85.8, 89.9]"
