Experiment / condition,Metric,Point SD,Refit width,Refit ratio,BCa width,BCa ratio
Original / N01,FSR,4.737,28.161,1.517,—,—
Original / N01,recall,2.916,17.946,1.570,—,—
Original / N02,FSR,3.082,19.587,1.621,—,—
Original / N02,recall,1.757,11.133,1.617,—,—
Original / N03,FSR,1.671,10.485,1.601,—,—
Original / N03,recall,0.935,5.891,1.606,—,—
Original / N04,FSR,3.513,20.217,1.468,—,—
Original / N04,recall,2.445,14.501,1.513,—,—
Original / A01,FSR,5.487,26.398,1.227,—,—
Original / A01,recall,3.015,14.990,1.268,—,—
Original / A02,FSR,5.265,26.630,1.290,—,—
Original / A02,recall,4.232,20.432,1.232,—,—
Original / A03,FSR,5.542,27.351,1.259,—,—
Original / A03,recall,4.041,19.956,1.260,—,—
Original / A04,FSR,3.397,15.797,1.186,—,—
Original / A04,recall,1.849,8.815,1.216,—,—
Original / S02,FSR,11.150,46.993,1.075,—,—
Original / S02,recall,6.231,27.632,1.131,—,—
Original / S20,FSR,11.391,45.200,1.012,—,—
Original / S20,recall,5.655,22.789,1.028,—,—
Additional / H050_C,FSR,2.930,14.301,1.245,14.141,1.231
Additional / H050_C,recall,3.160,14.955,1.207,14.859,1.200
Additional / H050_Q125,FSR,2.937,13.975,1.214,13.703,1.190
Additional / H050_Q125,recall,3.132,14.608,1.190,14.345,1.168
Additional / H050_Q500,FSR,3.588,16.461,1.170,15.684,1.115
Additional / H050_Q500,recall,3.738,16.887,1.153,16.149,1.102
Additional / H065_C,FSR,4.581,21.845,1.216,21.511,1.198
Additional / H065_C,recall,3.160,14.955,1.207,14.859,1.200
Additional / H065_Q125,FSR,4.671,21.947,1.199,21.385,1.168
Additional / H065_Q125,recall,3.173,14.592,1.173,14.368,1.155
Additional / H065_Q500,FSR,6.878,28.024,1.039,25.155,0.933
Additional / H065_Q500,recall,4.014,16.898,1.074,16.047,1.020
Additional / S_N_C,FSR,3.071,18.985,1.577,19.160,1.592
Additional / S_N_C,recall,1.716,10.918,1.623,11.048,1.642
Additional / S_H_C,FSR,5.330,25.998,1.244,26.075,1.248
Additional / S_H_C,recall,3.160,14.955,1.207,14.859,1.200
