Condition,Outcome,Point SD,Percentile midpoint SD,Basic midpoint SD,BCa midpoint SD
H050_C,FSR,2.930,2.019,4.566,4.398
H050_C,recall,3.160,2.171,4.870,4.665
H050_Q125,FSR,2.937,1.924,4.771,4.596
H050_Q125,recall,3.132,2.052,5.016,4.803
H050_Q500,FSR,3.588,1.837,6.570,5.983
H050_Q500,recall,3.738,1.938,6.726,6.193
H065_C,FSR,4.581,3.006,7.103,6.342
H065_C,recall,3.160,2.171,4.870,4.665
H065_Q125,FSR,4.671,2.907,7.507,6.729
H065_Q125,recall,3.173,2.060,5.087,4.878
H065_Q500,FSR,6.878,2.975,12.441,9.983
H065_Q500,recall,4.014,1.941,7.197,6.477
S_N_C,FSR,3.071,1.410,5.921,6.620
S_N_C,recall,1.716,0.831,3.202,3.603
S_H_C,FSR,5.330,3.798,8.490,8.221
S_H_C,recall,3.160,2.171,4.870,4.665
