Condition,FSR C/R/B coverage (%),Recall C/R/B coverage (%),Refit FSR rejection (%),Refit recall rejection (%)
N_G40_L000,50.6 / 100.0 / 91.0,70.3 / 100.0 / 91.0,0.0,0.0
N_G40_L050,52.5 / 100.0 / 92.6,70.2 / 100.0 / 91.3,0.0,0.0
N_G40_L090,53.5 / 100.0 / 90.5,71.4 / 100.0 / 91.3,0.0,0.0
N_G100_L000,63.1 / 100.0 / 90.4,82.6 / 100.0 / 91.6,0.0,0.0
N_G100_L050,65.7 / 100.0 / 90.5,82.4 / 100.0 / 90.5,0.0,0.0
N_G100_L090,67.2 / 100.0 / 91.2,83.0 / 100.0 / 91.8,0.0,0.0
A_G40_L000,50.7 / 100.0 / 88.3,66.7 / 99.9 / 90.8,43.9,0.5
A_G40_L050,50.3 / 100.0 / 89.4,67.8 / 100.0 / 91.3,45.0,0.2
A_G40_L090,51.0 / 99.8 / 87.7,67.1 / 99.7 / 88.6,48.6,0.4
A_G100_L000,63.8 / 99.4 / 90.7,79.6 / 99.7 / 90.1,83.3,0.4
A_G100_L050,65.1 / 99.6 / 89.7,80.1 / 100.0 / 91.6,82.1,0.3
A_G100_L090,68.1 / 99.8 / 91.0,80.8 / 99.8 / 90.3,83.0,0.4
