condition,metric,M,point_sd_pp,evaluation_error_sd_pp,development_policy_sd_pp,evaluation_error_mean_pp,development_variance_fraction,evaluation_variance_fraction,covariance_uv_pp2,correlation_uv,covariance_T_d_pp2,covariance_evaluation_d_pp2,covariance_development_d_pp2,correlation_evaluation_d,correlation_development_d,percentile_midpoint_sd_pp,basic_midpoint_sd_pp,variance_identity_error_pp2,covariance_identity_error_pp2
N01,FSR,1000,4.736538905772205,1.744161093534045,4.519082216419165,-0.016280516929097537,0.9102868465580913,0.1355972779307538,-0.5147005965300341,-0.06530069964315763,-20.187912118388088,-1.820723840289548,-18.36718827809854,-0.20797188782700382,-0.8097287977513947,2.6932274395256455,9.38110454661743,-2.886579864025407e-15,0.0
N01,recall,1000,2.9160038079072046,1.4539323291386723,2.5457473136565834,0.0052780606613606765,0.762174500417816,0.24860634773334755,-0.04583519748749913,-0.012383391954559364,-7.122552055528796,-1.5628826267581013,-5.559669428770692,-0.3791763261501938,-0.7703582180176344,1.5148435479654536,5.548419522434091,9.71445146547012e-16,-1.7763568394002505e-15
N02,FSR,1000,3.0821015477257228,1.0243097392170535,2.9377045151389525,-0.010653926847234403,0.9084945668118725,0.11045076213877386,-0.0899841548147005,-0.029903817188352524,-8.343296939783965,-0.6425255186501038,-7.700771421133859,-0.206862276264653,-0.864466846784142,1.4169816748883788,5.948195089781885,-8.049116928532385e-16,-2.6645352591003757e-15
N02,recall,1000,1.756845556203209,0.9208012826568108,1.4957443481724293,-0.025965032266440355,0.7248490466507642,0.27470379692676694,0.0006900755593845899,0.0005010411091223956,-2.4987727044221466,-0.6448418575450695,-1.8539308468770765,-0.43846089200521093,-0.7760321580259298,0.7999844639772983,3.261144884897577,4.77048955893622e-16,-4.440892098500626e-16
N03,FSR,1000,1.6705038707068567,0.5751029410338994,1.5414510135869082,-0.020410800983540433,0.8514604554971609,0.11852124491887615,0.04188428098632145,0.04724716433063213,-2.283130247665162,-0.2738804409412125,-2.00924980672395,-0.3156340874292421,-0.8639183071140508,0.707671256221725,3.10375894642981,2.498001805406602e-16,4.440892098500626e-16
N03,recall,1000,0.9354212316113155,0.5120739696902442,0.7786609907388518,-0.01710476803456159,0.6929188723688708,0.2996753033735165,0.0032400958082474843,0.008125998436511168,-0.6985902614185021,-0.20780407749649557,-0.4907861839220064,-0.48551897601796346,-0.7540996754366786,0.42004183542352186,1.723599776392411,7.719519468096792e-17,-1.6653345369377348e-16
N04,FSR,1000,3.5131972066214354,1.0668858649574824,3.3059537298458666,0.01866783286341914,0.8854998342655328,0.09222122036899237,0.13748954994239282,0.03898117790794375,-10.68167826092373,-0.9555902949299646,-9.726087965993768,-0.2694978101826393,-0.8852030340521059,1.423023217006103,6.689671749782146,1.1102230246251565e-15,1.7763568394002505e-15
N04,recall,1000,2.445059504845059,1.0775735988637367,2.197095465330276,-0.009237921895637614,0.8074562298347567,0.1942294225362104,-0.005038681254920631,-0.0021282420305204826,-5.0553528342090015,-0.8248041750356773,-4.230548659173325,-0.33920748575438997,-0.8533148164333438,0.9795285863986827,4.6022698300304175,-3.2959746043559335e-16,0.0
A01,FSR,1000,5.487139797510875,1.8137137104240255,5.085014901450207,-0.02656544259622929,0.8588007398648707,0.10925603159259838,0.48088459303846715,0.05214106494698318,-15.914669649837162,-1.7262226258006281,-14.188447024036533,-0.24277241902642926,-0.7117277679422969,3.6944258953922806,8.792466166889339,1.2212453270876722e-15,-1.7763568394002505e-15
A01,recall,1000,3.015405628226289,1.4784102768202276,2.640563296895493,-0.036694540475620735,0.7668345688662821,0.2403800733482281,-0.032800184390237234,-0.00840203971343175,-4.569887521733794,-1.0851732121274131,-3.48471430960638,-0.345029035964238,-0.6203290923895654,2.116296780983816,4.770562037342941,-9.020562075079397e-16,-1.3322676295501878e-15
A02,FSR,1000,5.265181153129157,1.74479469073365,5.081195874794566,-0.049556228559744224,0.9313335273875889,0.10981509104853093,-0.5703637277875845,-0.06433415942388997,-14.650316576676461,-0.9572536552186413,-13.693062921457814,-0.14198027799775706,-0.6973968587258251,3.6542034720174765,8.482598029000927,1.9984014443252818e-15,-5.329070518200751e-15
A02,recall,1000,4.232047624304912,1.8766288357548422,3.912166374271963,-0.05475984841350785,0.8545422489245049,0.19663267074322557,-0.45827721639297686,-0.06242126495046904,-8.70504283639201,-1.3738772705148687,-7.33116556587714,-0.26178890411344496,-0.6700965677987999,2.884558809732666,6.568169522201325,-2.3314683517128287e-15,-1.7763568394002505e-15
A03,FSR,1000,5.541500787468379,1.749173054778932,5.219118197373776,0.0012016931948676426,0.8870323652998796,0.0996347323883678,0.20471492189495666,0.022424335835815424,-15.836264546980319,-1.666872311655939,-14.169392235324382,-0.24902743996526863,-0.7094662494307434,3.6985396339941943,8.776346256395492,-1.3322676295501878e-15,1.7763568394002505e-15
A03,recall,1000,4.040875523171702,1.838776109347253,3.6454335414923493,-0.005971611613638272,0.8138557299051674,0.20706503017523553,-0.17080414598774868,-0.02548122898443654,-7.768887888973884,-1.4486291768936979,-6.320258712080186,-0.29623862986599026,-0.6519270262941136,2.804176521490576,6.240108774658862,-1.4432899320127035e-15,0.0
A04,FSR,1000,3.397227917396397,1.2379403311098245,3.194607682432767,0.024851216518496602,0.8842716360601061,0.13278531727594053,-0.09842849265464902,-0.024888778946065688,-4.24376200431395,-0.49996083281789727,-3.743801171496052,-0.2175241025459355,-0.6311990825861019,2.54965965832003,4.845184453714886,2.192690473634684e-15,-1.3322676295501878e-15
A04,recall,1000,1.8491050009836323,1.0122920407552511,1.5728842446221003,-0.0205962617734608,0.7235530491414266,0.2997012111552351,-0.03975535904709374,-0.02496853697605334,-1.221307704280825,-0.35213242080284707,-0.8691752834779779,-0.3422205631926831,-0.5436464008814297,1.4176681162172098,2.6258358107204933,-1.5265566588595902e-16,1.1102230246251565e-16
