case,dataset,scorer,method,fsr,recall,J_pp,interpretation
smolvlm_instruct__rlbenchfail,rlbenchfail,accept_all,accept_all,1.0,1.0,0.0,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,bare,joint_pooled,0.898406374501992,0.8780487804878049,-2.035759401418713,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,bare,joint_pair,0.8479415670650733,0.8313008130081302,-1.6640754056943097,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,bare,late_pooled,0.8911022576361223,0.8973577235772362,0.6255465941113925,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,bare,late_pair,0.853917662682603,0.8689024390243905,1.498477634178741,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,space,joint_pooled,0.9269588313413012,0.9227642276422765,-0.41946036990246904,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,space,joint_pair,0.8247011952191233,0.8455284552845526,2.082726006542923,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,space,late_pooled,0.8432934926958832,0.8567073170731706,1.3413824377287442,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__rlbenchfail,rlbenchfail,space,late_pair,0.8074369189907039,0.8434959349593495,3.605901596864558,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,accept_all,accept_all,1.0,1.0,0.0,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,bare,joint_pooled,0.9469696969696969,0.8666666666666666,-8.030303030303031,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,bare,joint_pair,0.8181818181818182,0.6666666666666666,-15.15151515151516,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,bare,late_pooled,0.9469696969696968,0.8666666666666667,-8.03030303030301,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,bare,late_pair,0.8257575757575758,0.7047619047619046,-12.099567099567121,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,space,joint_pooled,0.9015151515151513,0.8380952380952381,-6.341991341991315,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,space,joint_pair,0.3409090909090909,0.20952380952380953,-13.138528138528136,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,space,late_pooled,0.43939393939393945,0.2761904761904762,-16.320346320346324,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__ur5fail,ur5fail,space,late_pair,0.1212121212121212,0.11428571428571427,-0.6926406926406934,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,accept_all,accept_all,1.0,1.0,0.0,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,bare,joint_pooled,0.8733333333333334,0.8867805186590768,1.3447185325743405,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,bare,joint_pair,0.8666666666666666,0.8893105629348513,2.264389626818475,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,bare,late_pooled,0.8733333333333334,0.8950031625553446,2.1669829222011217,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,bare,late_pair,0.8466666666666666,0.9000632511068946,5.339658444022799,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,space,joint_pooled,0.8466666666666667,0.9152435167615435,6.85768500948768,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,space,joint_pair,0.8933333333333332,0.9354838709677424,4.215053763440924,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,space,late_pooled,0.8666666666666666,0.900063251106895,3.3396584440228416,descriptive fixed-operating-point Youden J; no threshold maximization or new test
smolvlm_instruct__reassemble_local,reassemble,space,late_pair,0.8733333333333334,0.9184060721062627,4.507273877292928,descriptive fixed-operating-point Youden J; no threshold maximization or new test
