dataset,split,field,matched_inputs,finite_inputs,exact_equal_inputs,maximum_absolute_seed_range,status_consistent_inputs
reassemble,confirmation,logodds,5193,5193,5193,0.0,5193
reassemble,confirmation,score,5193,5193,5193,0.0,5193
reassemble,confirmation,space_logodds,5193,5193,5193,0.0,5193
reassemble,confirmation,space_score,5193,5193,5193,0.0,5193
reassemble,dev,logodds,15444,15443,15443,0.0,15443
reassemble,dev,score,15444,15443,15443,0.0,15443
reassemble,dev,space_logodds,15444,15443,15443,0.0,15443
reassemble,dev,space_score,15444,15443,15443,0.0,15443
rlbenchfail,confirmation,logodds,6640,6640,6640,0.0,6640
rlbenchfail,confirmation,score,6640,6640,6640,0.0,6640
rlbenchfail,confirmation,space_logodds,6640,6640,6640,0.0,6640
rlbenchfail,confirmation,space_score,6640,6640,6640,0.0,6640
rlbenchfail,dev,logodds,1696,1696,1696,0.0,1696
rlbenchfail,dev,score,1696,1696,1696,0.0,1696
rlbenchfail,dev,space_logodds,1696,1696,1696,0.0,1696
rlbenchfail,dev,space_score,1696,1696,1696,0.0,1696
ur5fail,external,logodds,711,711,711,0.0,711
ur5fail,external,score,711,711,711,0.0,711
ur5fail,external,space_logodds,711,711,711,0.0,711
ur5fail,external,space_score,711,711,711,0.0,711
