condition,metric,method,target,planned,available,covered,coverage_planned_pct,coverage_available_pct,wilson_low_pct,wilson_high_pct,mean_width_pp,reference_minus3se_coverage_pct,reference_plus3se_coverage_pct
RF_H_C,FSR,conditional_percentile,fitted_policy,1000,1000,929,92.9,92.9,91.13863365698452,94.33303046495486,10.822985318443285,92.8,93.0
RF_H_C,FSR,conditional_percentile,procedure_average,1000,1000,925,92.5,92.5,90.69990602607456,93.97481950265328,10.822985318443285,92.3,92.4
RF_H_C,FSR,refit_percentile,fitted_policy,1000,1000,985,98.5,98.5,97.53990230730932,99.08890211959184,12.63176474909935,98.5,98.5
RF_H_C,FSR,refit_percentile,procedure_average,1000,1000,983,98.3,98.3,97.294404115977,98.93593101431837,12.63176474909935,98.3,98.3
RF_H_C,FSR,refit_basic,fitted_policy,1000,1000,929,92.9,92.9,91.13863365698452,94.33303046495486,12.63176474909935,92.9,92.9
RF_H_C,FSR,refit_basic,procedure_average,1000,1000,928,92.8,92.8,91.02882164172793,94.24360783190856,12.63176474909935,92.7,92.8
RF_H_C,FSR,conditional_sandwich_t,fitted_policy,1000,1000,940,94.0,94.0,92.35289252086434,95.3103527324068,11.093571282569812,94.0,93.9
RF_H_C,FSR,conditional_sandwich_t,procedure_average,1000,1000,934,93.4,93.4,91.6890724094024,94.77876495405143,11.093571282569812,93.3,93.4
RF_H_C,FSR,refit_BCa,fitted_policy,1000,1000,915,91.5,91.5,89.60871089966437,93.07366814603455,12.784164184694788,91.5,91.8
RF_H_C,FSR,refit_BCa,procedure_average,1000,1000,909,90.9,90.9,88.957441593046,92.52952956283559,12.784164184694788,90.8,90.9
RF_H_C,recall,conditional_percentile,fitted_policy,1000,1000,929,92.9,92.9,91.13863365698452,94.33303046495486,3.3072703123620437,92.9,93.1
RF_H_C,recall,conditional_percentile,procedure_average,1000,1000,880,88.0,88.0,85.83909241522872,89.87007393986909,3.3072703123620437,88.0,88.0
RF_H_C,recall,refit_percentile,fitted_policy,1000,1000,992,99.2,99.2,98.42936654690199,99.5940804181194,4.2400107668185845,99.1,99.3
