experiment,condition,metric,outer,point_sd_pp,refit_mean_width_pp,refit_gaussian_width_ratio,bca_mean_width_pp,bca_gaussian_width_ratio
original,N01,FSR,1000,4.736538905772206,28.160880807634086,1.516697805745475,,
original,N01,recall,1000,2.9160038079072046,17.945597393070205,1.5699425721689735,,
original,N02,FSR,1000,3.0821015477257228,19.587155300092988,1.6212065739777852,,
original,N02,recall,1000,1.756845556203209,11.13273167785465,1.6165237523888503,,
original,N03,FSR,1000,1.6705038707068565,10.48521740211475,1.6011937503326588,,
original,N03,recall,1000,0.9354212316113154,5.890759863637691,1.6064900094092567,,
original,N04,FSR,1000,3.513197206621435,20.216613398423664,1.4679788901723023,,
original,N04,recall,1000,2.445059504845059,14.500547352926848,1.5128953775379916,,
original,A01,FSR,1000,5.487139797510874,26.398069209876223,1.227269866917713,,
original,A01,recall,1000,3.015405628226289,14.989906913219277,1.2681397850471987,,
original,A02,FSR,1000,5.2651811531291575,26.630064471587716,1.2902469252620095,,
original,A02,recall,1000,4.232047624304911,20.43157008779802,1.2315870919186898,,
original,A03,FSR,1000,5.541500787468379,27.35134849473077,1.259114649205343,,
original,A03,recall,1000,4.040875523171702,19.95616152650986,1.259840225980801,,
original,A04,FSR,1000,3.397227917396397,15.796959177701082,1.1862131781879897,,
original,A04,recall,1000,1.849105000983632,8.814840863074782,1.2160931328644602,,
original,S02,FSR,1000,11.149971370762323,46.9933451473596,1.0751685231509096,,
original,S02,recall,1000,6.2312846688882635,27.632327932777436,1.131237557377578,,
original,S20,FSR,1000,11.3907998045513,45.19965024714291,1.0122663219507384,,
original,S20,recall,1000,5.654908347159473,22.78857934274919,1.02802958788187,,
weak_discrimination,H050_C,FSR,1000,2.9303052500171898,14.30141834260133,1.2450310443747261,14.14112176692936,1.2310761898115203
weak_discrimination,H050_C,recall,1000,3.1599310623628676,14.954855596137573,1.2073093075123749,14.858692878499385,1.1995460667847109
weak_discrimination,H050_Q125,FSR,1000,2.936812427094093,13.974895924294383,1.21390948825791,13.703214688167614,1.190310283505151
weak_discrimination,H050_Q125,recall,1000,3.131881347176377,14.607687314152534,1.1898441966221827,14.345326549338077,1.1684740490606726
weak_discrimination,H050_Q500,FSR,1000,3.5883482687596633,16.460682728587063,1.1702191211066821,15.683971037350336,1.115001309812998
weak_discrimination,H050_Q500,recall,1000,3.7378953434071307,16.88714030260913,1.1525052359600019,16.149365547563963,1.1021539477660327
weak_discrimination,H065_C,FSR,1000,4.581455858192069,21.845402053030114,1.216383354696402,21.511242992695145,1.1977768983892236
weak_discrimination,H065_C,recall,1000,3.1599310623628676,14.954855596137573,1.2073093075123749,14.858692878499385,1.1995460667847109
weak_discrimination,H065_Q125,FSR,1000,4.670536972143131,21.946554519576473,1.1987081742898065,21.385468307385047,1.1680619683700926
weak_discrimination,H065_Q125,recall,1000,3.173052514253348,14.59181738860499,1.1731297790790625,14.367595433946537,1.155103138179721
weak_discrimination,H065_Q500,FSR,1000,6.877516634857332,28.02402246929888,1.0394719058282633,25.154899781558488,0.93304990907359
weak_discrimination,H065_Q500,recall,1000,4.013912414591731,16.897792413684517,1.0739300923336197,16.047148115233636,1.0198678522720952
weak_discrimination,S_N_C,FSR,1000,3.0709254025236836,18.984575329383894,1.5770503271024232,19.160217139634742,1.591640907587004
weak_discrimination,S_N_C,recall,1000,1.7162525577247592,10.917669221936658,1.6227912884604105,11.04796351255378,1.642158099768886
weak_discrimination,S_H_C,FSR,1000,5.330241949126575,25.998353661750844,1.2442649208567407,26.075171674722814,1.2479413828386992
weak_discrimination,S_H_C,recall,1000,3.1599310623628676,14.954855596137573,1.2073093075123749,14.858692878499385,1.1995460667847109
